"","year","q","I"
"1","	2003",1,53.7374978476903
"2","	2003",2,54.003605423122
"3","	2003",3,54.2690222585773
"4","	2003",4,55.1201865929717
"5","	2004",1,56.0601110141733
"6","	2004",2,56.3187931348717
"7","	2004",3,56.868449470107
"8","	2004",4,58.062911572156
"9","	2005",1,58.5265707804837
"10","	2005",2,58.8588167085367
"11","	2005",3,59.1276872438683
"12","	2005",4,59.8624618924473
"13","	2006",1,60.6908318076603
"14","	2006",2,60.698429947387
"15","	2006",3,61.2218381635663
"16","	2006",4,62.3435998832297
"17","	2007",1,63.1792225681823
"18","	2007",2,63.1106666256473
"19","	2007",3,63.662567865802
"20","	2007",4,64.7192273428063
"21","	2008",1,65.638429564753
"22","	2008",2,66.2136432790693
"23","	2008",3,67.1514954803457
"24","	2008",4,68.7199932789453
"25","	2009",1,69.6918644239983
"26","	2009",2,70.1615676071087
"27","	2009",3,70.600705546318
"28","	2009",4,71.451697195718
"29","	2010",1,73.0044806598823
"30","	2010",2,72.9402418421923
"31","	2010",3,73.192016563139
"32","	2010",4,74.4871540165683
"33","	2011",1,75.5326341727267
"34","	2011",2,75.3440711581223
"35","	2011",3,75.6575916020593
"36","	2011",4,77.0944768315403
"37","	2012",1,78.464250656089
"38","	2012",2,78.2561552176613
"39","	2012",3,79.1278522347097
"40","	2012",4,80.264238636136
"41","	2013",1,81.3570527074943
"42","	2013",2,81.7431937015447
"43","	2013",3,81.8496203698137
"44","	2013",4,83.1951038724283
"45","	2014",1,84.739167017249
"46","	2014",2,84.674810184907
"47","	2014",3,85.2437546326903
"48","	2014",4,86.67412905423
"49","	2015",1,87.3387322956107
"50","	2015",2,87.1614379870587
"51","	2015",3,87.472704689785
"52","	2015",4,88.645401366268
"53","	2016",1,89.6913877035883
"54","	2016",2,89.3916401226033
"55","	2016",3,89.9079972754773
"56","	2016",4,91.5206743193703
"57","	2017",1,94.157050704169
"58","	2017",2,94.8426888635133
"59","	2017",3,95.736672876976
"60","	2017",4,97.5554420337757
"61","	2018",1,99.1528437205763
"62","	2018",2,99.1751307169903
"63","	2018",3,100.439366368171
