Periodo,Dato
1993/01,10008894.66
1993/02,10171035.4
1993/03,10066258.41
1993/04,10416096.24
1994/01,10343388.47
1994/02,10772526.22
1994/03,10602752.89
1994/04,10952773.42
1995/01,10189745.49
1995/02,9795719.008
1995/03,9802904.373
1995/04,10198513.28
1996/01,10426430.9
1996/02,10569227.49
1996/03,10583112.09
1996/04,11116526.64
1997/01,10862931.98
1997/02,11460068.09
1997/03,11408200.86
1997/04,11887380.12
1998/01,11827638.05
1998/02,12034464.22
1998/03,11972371.59
1998/04,12139816.57
1999/01,12100154.54
1999/02,12315219.07
1999/03,12325229.13
1999/04,12554685.81
2000/01,12725022.04
2000/02,12994568.9
2000/03,13008792.26
2000/04,13003302.17
2001/01,12796119.51
2001/02,12967530.19
2001/03,12857408.64
2001/04,12901429.2
2002/01,12415541.46
2002/02,13112362.78
2002/03,12889950.08
2002/04,13084104.35
2003/01,12803326.7
2003/02,13182931.65
2003/03,12954912.31
2003/04,13305703.42
2004/01,13252637.28
2004/02,13732337.64
2004/03,13438257.15
2004/04,13872028.16
2005/01,13354792.36
2005/02,14104834.68
2005/03,13782142.6
2005/04,14306520.44
2006/01,14107961.11
2006/02,14700503.81
2006/03,14435867.22
2006/04,14800896.85
2007/01,14393731.48
2007/02,14993341.6
2007/03,14783297.43
2007/04,15204933.39
2008/01,14563429.23
2008/02,15386331.87
2008/03,14979493.14
2008/04,15125056.49
2009/01,13752157.31
2009/02,14012946.33
2009/03,14231940.5
2009/04,14882949.38
2010/01,14371713.75
2010/02,14998393.73
2010/03,14921448.58
2010/04,15499622.72
2011/01,14902782.78
2011/02,15413081.41
2011/03,15526006.84
2011/04,16139463.38
2012/01,15619699.87
2012/02,16027318.51
2012/03,15952740.29
2012/04,16639135.94
2013/01,15720205.64
2013/02,16362701.64
2013/03,16186077.26
2013/04,16839763.78
2014/01,16135727.61
2014/02,16736883.34
2014/03,16644898.39
2014/04,17417109.73
2015/01,16696637.15
2015/02,17239902.23
2015/03,17310309.62
2015/04,17888574.71
2016/01,17199706.75
2016/02,17806060.48
2016/03,17662228.83
2016/04,18470875.15
2017/01,17759179.39
2017/02,18133627.86
2017/03,17943821.65
2017/04,18754520.76
2018/01,18001963.09
2018/02,18607264.2
