México,year ,Argentina,Brazil ,Chile ,China
3808.676564,1960,5605.191722,3425.429969,3806.805729,191.7911799
3875.260185,1961,5815.233557,3668.488081,3918.367037,140.9134992
3930.748314,1962,5675.060043,3747.859889,3986.723236,131.9633715
4118.675373,1963,5290.766222,3671.290247,4127.318878,142.0219554
4467.933531,1964,5738.59769,3690.915115,4140.772497,163.9913252
4639.448857,1965,6251.32182,3697.506274,4089.777077,187.2746316
4773.787957,1966,6120.712184,3745.99592,4451.644575,201.523242
4902.129959,1967,6226.997755,3825.237717,4514.600589,185.0759275
5203.435923,1968,6434.953777,4151.00984,4579.300856,172.9137524
5218.093566,1969,6954.764115,4438.58864,4663.498273,196.7401269
5385.819047,1970,7056.848064,4706.721192,4656.624327,228.3177028
5412.76319,1971,7335.759136,5109.591337,5000.595728,237.8138384
5672.383817,1972,7329.921158,5587.389915,4861.116667,240.8818889
5925.773572,1973,7407.366754,6216.916462,4537.195933,253.714373
6076.343824,1974,7685.857212,6618.720013,4568.018745,254.2674847
6237.066259,1975,7559.143749,6798.955914,3913.965055,271.5994765
6330.451324,1976,7291.840429,7288.440152,4000.222991,263.2306221
6369.9245,1977,7681.017571,7444.839467,4350.496587,279.3245468
6762.484242,1978,7227.564124,7505.244475,4615.077416,307.7661947
7235.333065,1979,7849.36334,7825.853328,4928.700804,326.7683692
7715.244115,1980,8052.689655,8340.323105,5242.330136,347.887413
8199.230917,1981,7478.130432,7789.317901,5499.995724,361.2247106
7967.029136,1982,6996.962918,7654.526882,4819.762115,387.7455809
7468.730278,1983,7154.411255,7226.451582,4507.427992,423.5934988
7576.608377,1984,7198.719942,7440.051027,4618.747802,481.3645958
7614.33243,1985,6550.150323,7861.008992,4726.905668,538.6908273
7182.415335,1986,6958.75247,8315.929824,4899.421795,578.1840404
7173.126785,1987,7053.985641,8446.104349,5128.959203,635.494603
7122.594716,1988,6772.223017,8277.58858,5413.325325,695.5990544
7278.508723,1989,6173.684981,8392.252841,5851.483445,713.6895276
7498.684192,1990,5939.756916,7987.055216,5947.764828,730.772489
7661.486045,1991,6598.722635,7967.803378,6309.457648,787.8674352
7782.472208,1992,7285.429428,7797.827261,6904.330444,888.9110041
7940.144044,1993,7612.681153,8028.203927,7247.053536,1000.61181
8174.691916,1994,7952.711552,8320.260475,7498.852089,1118.499577
7522.221743,1995,7630.022274,8549.02152,8051.48659,1227.556407
7893.907325,1996,7955.127652,8599.101647,8479.875279,1335.36268
8296.165755,1997,8500.940362,8751.37999,8987.619522,1443.774742
8588.637741,1998,8728.947651,8645.513397,9254.794789,1542.06413
8694.987189,1999,8339.894389,8555.91567,9100.999171,1645.987996
8997.433502,2000,8182.686502,8779.290799,9469.110468,1771.741506
8843.901047,2001,7735.493364,8777.357134,9666.476055,1905.61078
8731.219909,2002,6816.734855,8924.896961,9852.833928,2065.718579
8749.777923,2003,7337.792038,8911.319512,10141.73198,2258.912105
8977.657706,2004,7913.743124,9309.892056,10754.3066,2472.586556
9059.81037,2005,8522.522732,9495.48465,11249.8679,2738.20546
9327.736081,2006,9112.113163,9761.834283,11833.95202,3069.304781
9392.686993,2007,9830.68092,10244.26715,12285.04838,3487.845766
9347.524159,2008,10125.12627,10656.86947,12588.69122,3805.025999
8712.140486,2009,9428.502541,10538.77828,12268.44115,4142.038286
9016.457812,2010,10276.2605,11224.15408,12860.17764,4560.512586
9207.729199,2011,10780.01566,11560.41875,13518.76508,4971.544929
9405.813045,2012,10557.88539,11673.77054,14109.14333,5336.060143
9400.322,2013,10699.19772,11915.41705,14551.04442,5721.693819
9536.60032,2014,10323.20694,11870.14841,14681.33076,6108.238775
9717.89843,2015,10498.59253,11351.56575,14893.88065,6496.624013
9871.670109,2016,10206.24955,10868.65344,14958.56225,6894.464522
9946.157994,2017,10398.09246,10888.98239,15059.53014,7329.089299
